year	firm	evtdate
2006	600281	20070420
2006	600282	20070328
2006	600283	20070418
2006	600284	20070417
2006	600285	20070428
2006	600287	20070421
2006	600288	20070328
2006	600289	20070331
2006	600290	20070207
2006	600291	20070428
2006	600292	20070330
2006	600293	20070209
2006	600295	20070427
2006	600296	20070210
2006	600297	20070421
2006	600298	20070210
2006	600299	20070331
2006	600300	20070210
2006	600301	20070119
2006	600302	20070328
2006	600303	20070329
2006	600305	20070418
2006	600306	20070426
2006	600307	20070320
2006	600308	20070113
2006	600309	20070404
2006	600310	20070320
2006	600311	20070425
2006	600312	20070419
2006	600313	20070428
2006	600315	20070315
2006	600316	20070403
2006	600317	20070206
2006	600318	20070418
2006	600319	20070406
2006	600320	20070411
2006	600321	20070428
2006	600322	20070327
2006	600323	20070331
2006	600325	20070216
2006	600326	20070417
2006	600327	20070410
2006	600328	20070322
2006	600329	20070402
2006	600330	20070421
2006	600331	20070306
2006	600332	20070430
2006	600333	20070425
2006	600335	20070418
2006	600336	20070428
2006	600337	20070406
2006	600338	20070406
2006	600339	20070213
2006	600340	20070427
2006	600343	20070303
2006	600345	20070328
2006	600346	20070420
2006	600348	20070417
2006	600350	20070310
2006	600351	20070313
2006	600352	20070329
2006	600353	20070412
2006	600354	20070420
2006	600355	20070324
2006	600356	20070301
2006	600357	20070403
2006	600358	20070424
2006	600359	20070410
2006	600360	20070407
2006	600361	20070427
2006	600362	20070419
2006	600363	20070424
2006	600365	20070410
2006	600366	20070303
2006	600367	20070316
2006	600368	20070214
2006	600369	20070430
2006	600370	20070216
2006	600371	20070210
2006	600372	20070403
2006	600373	20070329
2006	600375	20070306
2006	600376	20070330
2006	600377	20070326
2006	600378	20070428
2006	600379	20070324
2006	600380	20070327
2006	600381	20070430
2006	600382	20070308
2006	600383	20070216
2006	600385	20070214
2006	600386	20070420
2006	600387	20070426
2006	600388	20070308
2006	600389	20070327
2006	600390	20070320
2006	600391	20070131
2006	600392	20070424
2006	600393	20070427
2006	600395	20070428
2006	600396	20070321
2006	600397	20070331
2006	600398	20070131
2006	600399	20070426
2006	600400	20070315
2006	600401	20070428
2006	600403	20070316
2006	600405	20070406
2006	600406	20070206
2006	600408	20070215
2006	600409	20070302
2006	600410	20070313
2006	600415	20070403
2006	600416	20070403
2006	600418	20070419
2006	600419	20070210
2006	600420	20070331
2006	600421	20070426
2006	600422	20070310
2006	600423	20070323
2006	600425	20070328
2006	600426	20070328
2006	600428	20070320
2006	600429	20070328
2006	600432	20070214
2006	600433	20070417
2006	600435	20070403
2006	600436	20070328
2006	600438	20070410
2006	600439	20070206
2006	600444	20070419
2006	600446	20070403
2006	600448	20070410
2006	600449	20070322
2006	600452	20070410
2006	600455	20070428
2006	600456	20070322
2006	600458	20070315
2006	600459	20070214
2006	600460	20070323
2006	600461	20070310
2006	600462	20070423
2006	600463	20070208
2006	600466	20070430
2006	600467	20070313
2006	600468	20070331
2006	600469	20070130
2006	600470	20070307
2006	600472	20070419
2006	600475	20070418
2006	600476	20070410
2006	600477	20070425
2006	600478	20070428
2006	600479	20070421
2006	600480	20070420
2006	600481	20070407
2006	600482	20070214
2006	600483	20070324
2006	600485	20070307
2006	600486	20070306
2006	600487	20070414
2006	600488	20070328
2006	600489	20070428
2006	600490	20070421
2006	600491	20070413
2006	600493	20070423
2006	600495	20070210
2006	600496	20070418
2006	600497	20070309
2006	600498	20070421
2006	600499	20070428
2006	600500	20070323
2006	600501	20070327
2006	600502	20070421
2006	600503	20070123
2006	600505	20070424
2006	600506	20070310
2006	600507	20070420
2006	600508	20070418
2006	600509	20070321
2006	600510	20070424
